0,1,2,3,4,5,6
8,12.50-13.25,Praktek Shalat,Al Islam,PLBJ,Bahasa Inggris,-
9,13.25-14.00,Praktek Shalat,Al Islam,PLBJ,Bahasa Inggris,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,, 
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,Sartriwati,
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS II HAEDAR NASHIR,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026-2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,Matematika,Hizbul Wathan,Matematika,Bahasa Indonesia
2,08.05-08.40,Pend. Pancasila,Matematika,Hizbul Wathan,Matematika,Bahasa Indonesia
,08.40-09.10,I  S  T  I  R  A  H  A  T,,,,
3,09.10-09.40,Pend. Pancasila,Al Islam,Tahsin,Tahfizd,Matematika
4,09.40-10.15,Tapak Suci,Al Islam,Tahsin,Tahfizd,Matematika
5,10.15-10.50,Tapak Suci,Seni Budaya,Pend. Pancasila,Seni Budaya,PLBJ
6,10.50-11.25,Bahasa Indonesia,Seni Budaya,Pend. Pancasila,PJOK,PLBJ
7,11.25-12.00,Bahasa Indonesia,Seni Budaya,Pend. Pancasila,PJOK,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,Praktek Shalat,Bahasa Inggris,Bahasa Indonesia,Seni Budaya,-
9,13.25-14.00,Praktek Shalat,Bahasa Inggris,Bahasa Indonesia,Seni Budaya,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,, 
